article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
654,"A: I must perform perfectly, or I am a total failure at everything.",A: I missed a question on my exam... B: It's okay to make mistakes sometimes.,Core Belief
655,"A: I feel like every time I open my mouth, I just make things worse.",A: I've really messed up with my friends this time... B: What happened that makes you feel this way?,Automatic Thought
656,A: I'm going to choke during the presentation and everyone will laugh.,A: I always get so nervous when I have to speak in front of people... B: Have you had a negative experience before while presenting?,Automatic Thought
657,A: I feel terrible today. I’m pretty sure I’m going to get everything wrong at work.,A: I just can't seem to focus on my tasks recently. B: Is there something in particular that's bothering you?,Automatic Thought
658,"A: I guess at some level, I've always felt that I'm just not as worthy as other people.","A: Even when I do something right, it doesn't seem to matter. B: Have you felt this way for long?",Core Belief
659,"A: Every time I have to speak in public, I get so nervous I can barely talk.",A: I have this important presentation next week and I'm starting to panic... B: Have you had issues with public speaking before?,Automatic Thought
660,A: I'm just a failure at relationships; nobody can ever love me.,A: Another one of my relationships ended badly... B: Do you feel like there's a pattern with your relationships?,Core Belief
661,"A: Every time I start a new project, I feel like I'm going to totally mess it up.",A: I don't handle new responsibilities very well. B: What makes you say that?,Automatic Thought
662,"A: No matter how hard I study, I always feel like I'm not smart enough.","A: I've been studying all week for this test. B: You're usually well-prepared, how come you're worried?",Automatic Thought
663,"A: Sometimes, I feel like if I don't accomplish something significant at work, I'm utterly useless.",A: I've received a good performance review. B: That's great! It should make you feel proud of the hard work.,Intermediate Belief
664,"A: If I speak up in the meeting and my idea isn't accepted, that just confirms that I can't contribute anything of value.","A: I have this idea for the project, but I'm nervous about sharing it. B: Why don't you share it in the next meeting?",Intermediate Belief
665,"A: I might make a mistake, and if I do, everyone will think I'm incompetent.","A: I've to give a presentation next week, and I'm quite nervous... B: I'm sure you'll do fine, you know the subject well.",Core Belief
666,A: I feel like I can never be truly loved because I am fundamentally unlovable.,"A: My last relationship ended badly, and it's been really hard... B: I'm sorry to hear that, do you think that has affected how you see yourself now?",Core Belief
667,"A: If I don't perform well today, it means I'm incapable and incompetent.",A: I’m really worried about this presentation... B: But you always put in great work.,Intermediate Belief
668,"A: Everyone else seems to handle their job just fine, which means I'm the problem.","A: I'm the only one struggling to meet deadlines... B: Is it really just you, or is the workload unrealistic?",Core Belief
669,A: I think everyone at work is talking about me behind my back.,A: This project presentation is giving me such a headache... B: Why do you feel that way about the presentation?,Intermediate Belief
670,A: I can't seem to stand up for myself; I'm just too weak.,"B: You’ve been quite upset after that argument with your colleague... A: Yes, I just let them walk all over me.",Core Belief
671,A: I always mess things up at work. It seems I just can't do anything right.,A: Just got another email from my boss about a mistake I made... B: Was it a big error?,Intermediate Belief
672,"A: I just feel worthless, as if I'm not good enough for anyone.","A: I've been single for years now, even after so many dates... B: Do you think perhaps you haven't met the right person yet?",Core Belief
673,"A: Every time I start a new project, I just feel it's destined to be a total disaster.",A: I'm having a hard time getting motivated to work on my tasks... B: Have you had issues with projects in the past?,Automatic Thought
674,"A: If I don't perform flawlessly in my job, I'm certain my colleagues think less of me.","A: I've always been told that to succeed, you have to be perfect. B: That sounds like a tough standard to live up to.",Intermediate Belief
675,"A: I get so nervous speaking in front of people, I'm sure I'll end up looking stupid.","A: I have to give a presentation at work tomorrow... B: You're well-prepared, though, right?",Automatic Thought
676,"A: I guess I just believe that if I can't do things perfectly, then I shouldn't do them at all.","A: I ended up canceling my piano recital... B: But you've practiced for months, haven't you?",Intermediate Belief
677,A: It's like everyone at work can handle stress better than me; maybe I'm just not cut out for this job.,"A: I've been so overwhelmed since taking on this project... B: But you're handling it quite well, don't you think?",Intermediate Belief
678,"B: I understand making a mistake feels bad, you think it means you're not a competent professional?",A: I can't believe I overlooked that error in my report... now my whole team saw it. B: Could it be that you are being too hard on yourself?,Intermediate Belief
679,"A: Even when I accomplish something, it doesn't mean anything because it probably wasn't that hard to begin with.","A: I managed to get the job, but I'm still not happy... B: That's a great achievement, you should be proud!",Intermediate Belief
680,"A: If I don't do things perfectly, I'm a complete failure.","A: I just got feedback from my presentation and there were a couple of criticisms... B: But overall the response was positive, wasn't it?",Core Belief
681,"A: Even when I get compliments, I feel like they don't really mean it. It's like I'm always going to be unlikable.",A: I never seem to make a good impression on people... B: You’ve got lots of friends who think highly of you.,Intermediate Belief
682,"A: It's just that every time something goes slightly wrong, I feel like my whole life is a mess.",A: I had a bad day at work today... B: Do you want to talk about what happened exactly?,Core Belief
683,"A: Even when things go well, I find myself thinking that it's probably just luck and not my own ability.","B: You just got praise for your work! Are you not happy about it? A: I suppose I am happy, but ...",Automatic Thought
684,"A: Deep down, I think I've always believed that if people really get to know me, they won’t like what they find.",B: You always shy away from talking about yourself. Why's that? A:I guess I'm just private.,Core Belief
685,"A: I'm convinced that I'm always going to be left alone, it's like I'm fated to end up that way.",A: I've been feeling lonely lately... B: Have you tried reaching out to your friends or family?,Core Belief
686,"A: I just see myself as someone who can't be loved, like I'm fundamentally unlovable.","A: I don't know why, but I struggle a lot in relationships... B: Do you feel like you're deserving of love?",Core Belief
687,"A: Every time someone disagrees with me, I just freeze up. It's like I'm a child again.",A: I really struggle with conflict. B: Do you find that you have a strong reaction when there's disagreement?,Intermediate Belief
688,A: I'm positive this is going to end catastrophically; these things never work out for me.,A: I'm starting a new project at work tomorrow... B: Are you feeling optimistic about it?,Automatic Thought
689,A: Everyone laughed at me the last time I spoke. I'm sure I’ll say something stupid again.,"A: I have to present at the meeting next week, and I'm really nervous... B: But you’re usually so good at your presentations!",Automatic Thought
690,"A: If I can't even succeed at this job, then I'm never going to achieve any of my career goals.",A: I've been passed over for promotion again... B: That doesn’t necessarily mean anything about your abilities though.,Intermediate Belief
691,"Sometimes I feel like if I can't do something perfectly, there's no point in doing it at all.",A: I've been so stressed about this project at work... B: Is it because you feel a need to make it absolutely perfect?,Intermediate Belief
692,I just can't shake the feeling that everyone's life is moving forward except mine.,A: Been seeing all these posts of my friends getting married or promoted... B: How does that make you feel?,Core Belief
693,"A: Even if I land this job, I'll probably end up losing it like my last one.","A: I have a job interview lined up next week... B: That's great news, you're really skilled at your profession!",Intermediate Belief
694,A: I feel like everything is pointless; I'm just a failure and can't do anything right.,"A: I've had a series of unsuccessful projects. B: It's okay, failure is part of learning and growing.",Core Belief
695,I shouldn't even try because I'm not skilled enough to do it right.,A: I've been offered a chance to lead the new project at work. B: That sounds like a great opportunity!,Intermediate Belief
696,"If I can't do this perfectly, then it means I’m not competent.","A: I've made a couple of mistakes in my report. B: Everyone makes mistakes, haven’t you learned from it?",Intermediate Belief
697,I always mess things up in relationships; it just happened again with Alex.,A: I feel like nothing I do is right in my partner's eyes. B: What happened to make you feel that way?,Automatic Thought
698,Personal success is only valid if I'm also helping others.,"A: I won that award at work, but I don't feel great about it. B: Why do you think that is?",Intermediate Belief
699,"A: Each time I’m in a crowd, I just feel like everyone is judging me.",A: Parties have never been comfortable for me... B: Do you feel anxious in social settings?,Automatic Thought
700,A: I'm always the one to mess things up in a relationship.,A: None of my past relationships have lasted... B: Do you see a pattern in why they ended?,Automatic Thought
701,"A: I'm just so stupid, why can't I do anything right?",A: I completely messed up my presentation again... B: You might be being a bit hard on yourself there.,Core Belief
702,"A: I feel like if I don't get this job, it means I am unlovable and I'll always be a disappointment.","A: I'm nervous about the interview tomorrow... B: I'm sure you'll do fine, you've worked very hard.",Core Belief
703,"A: If my friends don't answer promptly, they must be annoyed with me.",A: I texted them hours ago and still no response... B: Are they usually quick to reply?,Intermediate Belief
704,"A: I must always be successful in every project I take on; otherwise, I'm a complete failure.","B: Your recent project didn't go as planned, did it? A: No, it was a disaster. I didn't meet the expectations.",Core Belief
705,A: I always mess things up. It's like a curse.,"A: Yesterday, I accidentally sent the wrong file to my boss... B: That's a simple mistake, it happens to everyone.",Intermediate Belief
706,"A: Maybe I'm just not meant to be happy, it feels like a fact.","A: Seems like every time something good happens to me, it's followed by a disaster... B: That must be really tough to go through.",Core Belief
707,"A: Every time a challenge comes up, I just feel like I'm not smart enough to handle it.","A: I missed a few questions on the test, even though I studied. B: Everyone misses questions sometimes; maybe you're being too hard on yourself?",Automatic Thought
708,"A: I worry that if I don't succeed, people will think less of me because I should be capable of more.","A: This new project is really important to me. B: Yes, but aren't you putting too much pressure on yourself to be perfect?",Intermediate Belief
709,"A: Every time I try to speak up, my mind goes blank and I make a fool of myself.",A: Presentations have always been a nightmare for me. B: Have you tried practicing in a safe environment first?,Intermediate Belief
710,"A: I shouldn't have shared my opinion, no one cares about what I say anyway.","A: I felt ignored during yesterday's team meeting. B: That sounds upsetting, did you try to voice your thoughts?",Core Belief
711,I always mess up relationships; I'm just not meant to be happy with someone.,"A: Every time I get close to someone, it just falls apart. B: Have you felt this way with every relationship?",Core Belief
712,Someone laughed during my presentation; I'm sure they're all thinking I'm a joke.,"A: As soon as I heard that laugh, my mind went blank... B: Do you think the reaction was about your presentation?",Automatic Thought
713,"A: Even when things go right, it feels like I'm just a fraud and don't deserve it.","A: I finally got that promotion at work… B: That's great, you've worked really hard for it.",Core Belief
714,"A: Deep down, I always end up feeling like I don't truly belong anywhere.",A: I just can't shake off this sense of isolation… B: It sounds like you feel disconnected from people around you.,Core Belief
715,A: It feels like people at work are always whispering about me; they must find me weird or incompetent.,"A: Sometimes when I enter the break room, the talking stops... B: Have you considered they might just be wrapping up their conversation?",Automatic Thought
716,"A: If I can't manage this project successfully, it just proves that I'm not smart enough to handle responsibility.",A: I'm really worried about this new project I'm leading... B: What specifically worries you about the project?,Intermediate Belief
717,I always mess up relationships; it’s inevitable.,A: I just had another fight with my partner... B: Have you thought about why it keeps happening?,Automatic Thought
718,"A: Deep down, I feel like I'm never going to be successful.","A: I didn’t get the job I applied for... B: That’s disappointing, but remember, not every job is the right fit.",Core Belief
719,A: I feel like I am a failure at everything I touch.,"A: Just found out I didn't get the promotion at work... B: Oh no, that's the third time now, isn't it?",Core Belief
720,"A: Love just isn't in the cards for me, I always end up alone.",A: Another relationship ended today... B: I’m sorry to hear that. Has it been a common theme?,Core Belief
721,"A: I keep thinking that if I don't finish this project on time, I am a total failure.","A: The deadline for the project is coming up and it's got me so stressed... B: It's important, but do you really think one project determines your worth?",Automatic Thought
722,"A: Every time my phone rings, I am convinced it's going to be bad news.","A: I can never relax, I'm always tense... B: Does something specific trigger your anxiety?",Automatic Thought
723,"A: I feel like if I can't do this presentation perfectly, I won't be seen as competent.","A: I've been working on this presentation for weeks... B: The content is solid, and you know this stuff inside out.",Intermediate Belief
724,"A: I'm worried because I think if I don't please my boss on this project, it will reflect poorly on my entire performance.",A: This project is really important to my career... B: It sounds like you're carrying a lot of weight on your shoulders.,Intermediate Belief
725,"A: I feel like a complete outsider, like no one at work really gets me.","A: The work environment is rough, sometimes I sit alone at lunch... B: Have you tried reaching out to your colleagues?",Automatic Thought
726,"A: I'm just worthless when it comes to relationships, I can never make them last.",A: Another date ended badly... B: Sounds like you're being hard on yourself.,Core Belief
727,A: Everyone seems to be getting ahead while I'm stuck in the same place.,A: I've been at this job for years now... B: Have you considered looking for new opportunities?,Automatic Thought
728,A: I feel like I’m a complete failure when it comes to relationships.,A: I just can't seem to maintain a stable relationship. B: You've had a couple of rough breakups.,Core Belief
729,"A: If I can't do this right, it means I'm not very competent.",A: I've messed up the presentation today... B: Everyone makes mistakes sometimes.,Intermediate Belief
730,"A: I feel like if I don't get this project perfect, my coworkers will think I'm not cut out for the job.",A: I'm so stressed about this new project... B: But you've always done great work before.,Intermediate Belief
731,"A: If I don't excel in this task, my colleagues will see me as incompetent.",A: I’ve been really stressed about this project. B: I’m sure you're doing your best.,Intermediate Belief
732,"A: I'm probably not going to get along with the new manager, I never do well with change.",A: There’s a new manager starting next week. B: Are you worried about adjusting to the new leadership?,Intermediate Belief
733,"A: Whenever I start a new project, I immediately think I don't have what it takes to complete it successfully.",A: I procrastinate a lot when it comes to my work... B: Is there something that's causing you to put things off?,Intermediate Belief
734,"A: I guess every time someone criticizes me, it feels like they're implying I'm not competent.",A: I get really defensive when I receive any feedback at work... B: What goes through your mind when that happens?,Intermediate Belief
735,A: I think I just can't be happy because I am not capable of handling happiness.,A: My life seems to be an unending string of disappointments. B: Have you ever felt truly happy?,Intermediate Belief
736,"A: Deep down, I feel like I'm just a failure and nothing can change that.","A: I didn't get the promotion at work again this year... B: Don't be hard on yourself, you've done your best.",Core Belief
737,"A: Every time I talk in a meeting, I can see my coworkers whispering. They must think I'm stupid.",A: I feel so self-conscious at work lately. B: Why do you think you're feeling that way?,Automatic Thought
738,A: I should have seen this coming. I always mess up relationships sooner or later.,A: My partner and I had a big argument last night... B: What do you think went wrong?,Intermediate Belief
739,A: Everyone at work must think I'm incompetent when I ask too many questions.,A: I hesitated to ask for help on the project again. B: Do you feel like it reflects poorly on you?,Automatic Thought
740,A: I feel like a failure in life because I can't even get this right.,"A: This project is not going as planned... B: But failures are part of the learning process, aren't they?",Intermediate Belief
741,"A: If I don't get this job, it's because I'm unqualified and not smart enough.",A: I've been really stressed about this interview. B: You seem to have all the needed skills and experience.,Automatic Thought
742,"A: I feel like if I show my vulnerability, people will inevitably hurt me.","A: Every time I open up to someone, I get hurt. B: Has it happened with everyone you've opened up to?",Intermediate Belief
743,I just avoid social situations now because I’m sure I’ll say something stupid.,"A: Recently, I’ve been declining invitations to go out... B: Is there a reason you've been doing that?",Automatic Thought
744,I need everyone's approval to feel good about myself; it's how I know I'm worthwhile.,A: Why do you feel the need to always please others? B: It seems like their opinions are very important to you.,Intermediate Belief
745,"I always mess things up with my friends, it's like I'm programmed to fail at socializing.",A: I had another argument with my friends. B: What happened this time?,Automatic Thought
746,There's no point in trying because I'm always overlooked and ignored.,A: How was your presentation today? B: No one really paid attention or cared.,Core Belief
747,I always end up making a fool of myself in social situations.,A: Even thinking about the party makes me nervous... B: Are you worried about meeting new people again?,Automatic Thought
748,"I'm just a failure, I can't do anything right.",A: Yesterday was another mess up at work... B: What happened this time?,Core Belief
749,"A: Every time I get feedback, it feels like they are just confirming that I'm not good enough.","A: I've completed the project and submitted it for review... B: That sounds like a great achievement, well done on finishing!",Automatic Thought
750,"A: I'm always the one who has to adjust, never the other way around. It's like I'm expected to meet everyone's needs except my own.",A: My family seems to dismiss my opinions frequently... B: That sounds frustrating. Have you talked to them about how you feel?,Intermediate Belief
751,A: I always mess things up in relationships as soon as things start going well.,A: It's just my luck I guess... B: It sounds like you're handling it tough.,Automatic Thought
752,"A: If Someone rejects a suggestion I made, it means they think I'm incompetent.",A: I hesitated to propose my idea during the meeting today. B: What held you back?,Intermediate Belief
753,A: It’s so hard for me to start conversations with coworkers. I feel like I’ll say something stupid.,A: I always eat lunch alone... B: Have you tried joining the group in the break room?,Automatic Thought
754,A: Isn’t it possible I'm just fundamentally unlikable?,A: I don't have a lot of friends... B: Do you feel that others do not appreciate you?,Core Belief
755,A: I can never get anything right; I'm sure everyone at work thinks I'm incompetent.,"A: I just messed up a minor thing at work today... B: It happens, were there any major consequences?",Automatic Thought
756,A: I find it hard to start projects because I believe I'm going to mess it up anyway.,B: Why do you procrastinate so often? A: I get overwhelmed by the thought of having so much to do.,Intermediate Belief
757,A: I just can't shake the feeling that everyone is always judging me.,A: I felt so self-conscious at the party yesterday... B: Were people saying something to make you feel that way?,Core Belief
758,"A: Deep down, I think I've always believed that I don't deserve happiness.",A: I sabotage every good relationship I've ever had... B: Why do you think you do that?,Core Belief
759,"Every time I try to speak up in meetings, I just end up saying something stupid.",A: I'm tired of being overlooked at work. B: Have you tried sharing your ideas during the meetings?,Automatic Thought
760,"I must do everything perfectly, or I have failed.","A: I got a B+ on my report, I can't believe this. B: But that's a good grade, isn't it?",Intermediate Belief
761,"A: If I don’t finish this project on time, it’s going to confirm I can never do anything right.",A: This project at work has been really stressing me out. B: Have you been falling behind on your work schedule?,Intermediate Belief
762,A: Everyone must think I'm incompetent if I ask too many questions.,A: There are so many things I'm unclear about at my job... B: Why not ask for clarification?,Intermediate Belief
763,"A: Every time I speak up, people seem bored. It must be because I'm a boring person.","A: At the party, I tried to join in the conversation, but... B: Did something happen when you joined in?",Automatic Thought
764,"A: I guess I just feel like I have to be perfect, or else I'm worthless.",A: This mistake at work is haunting me. B: Making a mistake doesn't mean you're not competent.,Intermediate Belief
765,"A: Every time I start a new project, I feel overwhelmed and convinced I'll mess it up.","A: I've taken on a new role recently... B: Oh, that's usually exciting. How's it going?",Automatic Thought
766,"A: I got nervous and just froze, now everyone must think I'm incompetent.",A: Today's presentation didn't go well at all... B: That's tough. What happened that threw you off?,Automatic Thought
767,"A: Whenever there's a conflict, I try to cope by just staying positive.",A: Conflicts at work are just so draining for me... B: Are you finding ways to manage that stress?,Intermediate Belief
768,"A: I guess if I don't perform well in this project, my teammates might think less of me.","A: I'm worried about the upcoming project. B: You've always been a key contributor, why the concern now?",Intermediate Belief
769,"A: Every time I make a mistake, it's proof that I can't do anything right.","A: I messed up the presentation yesterday... B: From what I saw, it was a small error and you recovered well.",Automatic Thought
770,"A: If I don't perform well in this project, I'll prove that I'm fundamentally inadequate.","A: I've been working hard, but I'm really nervous about this project's outcome... B: Why does it feel so significant?",Intermediate Belief
771,I always stumble over my words. I'm such an idiot.,A: I get so nervous when speaking in the group. B: Have you always felt uncomfortable speaking publicly?,Automatic Thought
772,"If I don't get this project right, it's going to prove I'm not competent.","A: The deadline for the project is next week. B: You've put a lot of effort into it though, right?",Intermediate Belief
773,A: I'm just too stupid to understand this material.,A: I've been studying for hours and it's just not sticking. B: What part are you finding difficult?,Automatic Thought
774,A: I always mess things up in relationships.,"A: Another date that didn't go well... B: Not all dates are a perfect match, perhaps it just wasn't meant to be?",Automatic Thought
775,"A: Every time I speak up in meetings, I can see people are judging me.",A: I hate office meetings. It makes me so nervous to present. B: What exactly makes you feel this way during meetings?,Automatic Thought
776,"A: If I don't get this job, it means I'm not cut out for this career.",A: I'm really nervous about this interview. B: You’ve got a lot of experience in this field already.,Automatic Thought
777,"A: Whenever I make a small mistake at work, I instantly feel like I'm going to be fired.",A: I'm always so stressed about my job... B: Is it because you're worried about performance?,Automatic Thought
778,"A: Maybe I’m just one of those people who can never be happy, no matter what I do.","A: I've tried different hobbies and social events... B: Still not feeling any better, huh?",Intermediate Belief
779,"A: Every time someone laughs in the office, I can't shake the feeling that they're laughing at me","A: I managed to give the presentation today... B: Well done, how did it feel?",Automatic Thought
780,A: I need to make sure every detail is perfect or else the whole project will be a disaster.,A: This project is really important to the client... B: Have you been able to break it down into manageable parts?,Intermediate Belief
781,"A: I guess it's just how I am, I'm not someone who is confident in social situations.",A: I always feel anxious before meeting new people. B: Have you always felt this way?,Intermediate Belief
782,A: I'm just a total failure. I can't seem to do anything right.,"A: Every time I try to take on a new project, I end up making mistakes. B: But you've had some successes too, haven't you?",Core Belief
783,"A: Honestly, I feel like everyone will leave me someday because I’m just not lovable.",A: I always worry that my partner may find someone better. B: Have you felt insecure in relationships before?,Core Belief
784,"A: I must perform perfectly, or I am a complete failure.","A: Just got feedback on my project, and it's mostly positive but they mentioned some areas to improve. B: That sounds like constructive criticism, not failure.",Core Belief
785,"A: Whenever I'm in a group, I feel like I'm on the outside looking in. I can't engage as others do.",A: I’ve never been comfortable around people. B: Have you felt part of a group before?,Intermediate Belief
786,"A: No one ever listens to me, it's like I'm invisible.",A: I tried speaking up in the meeting today. B: How did that go for you?,Core Belief
787,"A: Every time I start a new class, I worry I won't understand the material.",A: Studying has never been my strong suit... B: Are you feeling anxious about starting college?,Intermediate Belief
788,"A: I feel like if I can't control everything, it will all go wrong.",A: I've always had to oversee every detail in projects at work... B: Does that make you feel responsible for the outcome?,Core Belief
789,"A: I worry that if I don't do this perfectly, everyone will judge me.","A: Lately, every little task at work feels overwhelming... B: Have you talked to your boss about how you're feeling?",Intermediate Belief
790,A: I feel like I'm unworthy of love unless I'm always available to everyone's needs.,A: My relationships are so draining. B: It sounds like you often put others before yourself.,Core Belief
791,"A: I'm such a klutz, I tripped in front of everyone during the presentation today!","A: Today's presentation did not go well. B: I'm sure it wasn't that bad, what happened?",Automatic Thought
792,A: I don't know why I keep putting things off until the last minute.,"A: My work is piling up and I'm getting overwhelmed. B: You've been procrastinating more than usual, haven't you?",Intermediate Belief
793,A: I'm such a disappointment to everyone around me.,"A: I messed up the presentation today, I could see it in their faces... B: Everyone makes mistakes, you're being too hard on yourself.",Core Belief
794,B: It seems that you view any constructive feedback as a sign of failure.,"A: I don't know, every time someone tries to give me feedback, I just hear that I'm not good enough... B: That's a tough way to interpret feedback.",Core Belief
795,A: They all must think I'm stupid whenever I speak up.,"A: Every time I contribute in the meeting, I regret it... B: Are the reactions from your colleagues usually negative?",Intermediate Belief
796,"A: Deep down, I feel like a failure and that's not going to change.","B: You've been successful in various projects before, why the harsh judgment? A: Success doesn't last, and one mistake seems to wipe out all my achievements.",Core Belief
797,"A: Every time I start a new project, I immediately think it's going to be a disaster.",A: I'm always so pessimistic about my work... B: Do you tend to worry about new tasks often?,Automatic Thought
798,"A: I feel like crying whenever my boss calls me into the office, even for small things.",A: Work has been very stressful lately... B: Seems like you're having a tough time handling interactions with your boss.,Automatic Thought
799,"A: If I don't perform perfectly in my job, I feel like I am a total failure.",A: I'm really stressed about this project at work. B: It sounds like you have high standards for yourself.,Intermediate Belief
800,"A: Whenever I get feedback, I always feel like I'm not living up to my potential.",A: I just got my performance review and it was mostly positive... B: That’s great! But you seem upset?,Intermediate Belief
801,"A: If I don't do this perfectly, everyone is going to think I'm incompetent.",A: I need to present the project plans next week... B: You've done this before and always got good feedback.,Intermediate Belief
802,"A: Deep down, I really feel like happiness is not something I deserve.","A: Even when good things happen, I can't seem to enjoy them... B: That sounds like a really tough mindset to deal with.",Core Belief
803,"A: I guess I always mess things up, nobody ever listens to me anyway.",A: It's frustrating when my ideas get ignored in the team meetings. B: Are your suggestions not taken into account?,Automatic Thought
804,"A: Deep down, I believe that I'm unlovable and that's why I will end up alone.",A: I just don't get why my relationships don't last. B: You're worried that there's something fundamentally wrong?,Core Belief
805,"A: I should have been able to prevent that mistake at work. B: But it was an unpredictable error, right?",A: I can't stop thinking about that error I made. B: You've been really diligent with your job though.,Intermediate Belief
806,"A: I feel like I'm always the last option for my friends, which just proves I'm forgettable.",A: They went out again without inviting me. B: Is there a chance they just assumed you were busy?,Core Belief
807,A: I feel like making a mistake at work would prove that I'm incompetent.,"A: I'm so nervous about the new project... B: But you’ve successfully completed similar tasks before, right?",Intermediate Belief
808,"A: I think if I can't answer a question correctly, my colleagues will think less of me.",A: I'm dreading the Q&A session after my presentation... B: Have you experienced negative reactions in the past?,Intermediate Belief
809,"A: It seems like every time I attempt something new, it ends in disappointment.",A: I've always been the one who sticks to what I know. B: Is it because trying new things has been tough in the past?,Intermediate Belief
810,"A: I'm just not a lovable person, that's why I'm alone.","A: I don't know, relationships just don't work out for me... B: Do you think there might be a pattern in how you approach relationships?",Core Belief
811,A: People don't pay attention to what I say.,A: It's so hard to speak up in meetings... B: Have you tried expressing your ideas more clearly?,Automatic Thought
812,"A: I need to always be in control, otherwise things will go wrong","A: Last time I let someone else decide, it was a disaster... B: Do you feel like that often when you are not the one making decisions?",Intermediate Belief
813,A: I always get so nervous that I can't think straight.,A: I have a big presentation next week. B: Have you presented before?,Automatic Thought
814,A: It's just that nobody at work likes me.,A: I'm dreading the team lunch. B: Why do you feel that way?,Automatic Thought
815,"Every time I get on a plane, I'm convinced it's going to crash.",A: I just can't shake my fear of flying. B: Have you had a bad experience?,Automatic Thought
816,"I guess I just feel like if I make a mistake, people will realize I'm really not that competent.","A: You seem very capable at your job, why are you doubting yourself? B: It's hard to explain, I've always set high standards for myself.",Intermediate Belief
817,A: I'll probably forget what to say and everyone will laugh at me.,A: I have to give a presentation next week and I'm really nervous. B: Have you had a chance to practice your speech?,Automatic Thought
818,"A: And once again, I messed up. I always make mistakes in these things.",A: Just got out of the meeting where I totally blanked on the financials. B: Was this the first time you presented them?,Automatic Thought
819,A: I suppose I'll mess things up anyway. It's like I can't do anything right.,"A: I've been struggling with this project for a while... B: Well, have you tried asking for help or looking at it from a new perspective?",Automatic Thought
820,A: Maybe I'm not meant for relationships. I tend to drive everyone away in the end.,"A: My last relationship ended badly, and it was all because of a small mistake I made... B: One mistake shouldn't define the whole relationship, though, right?",Intermediate Belief
821,A: I feel like I’m a complete burden to my family.,"A: Lately, I've just felt so useless... B: Have you tried talking to your family about this?",Core Belief
822,"A: If I can't solve this problem, then I might as well give up on everything.",A: Work has been overwhelming this quarter... B: Sounds like you’ve hit a rough patch. What's on your plate?,Intermediate Belief
823,"A: Everyone always seems to leave me, I'm probably just not that likable.",A: It just feels like I'm not able to maintain friendships like others do... B: That sounds really tough. Have you been reaching out to people?,Intermediate Belief
824,"A: I messed up on the presentation, I always screw things up.","A: I'm so disappointed, I don't know how I could make such an obvious mistake... B: Everyone makes mistakes, you're being too hard on yourself.",Automatic Thought
825,"A: I can't do this, everyone else seems to get it straight away.","A: I've been trying to solve this problem for hours... B: Maybe it's a tough problem, not everyone gets it right away.",Automatic Thought
826,"A: Every time I try discussing this, we just argue. I think it's because I'm terrible at communication.",A: We must resolve our work differences... B: Have you tried approaching them differently?,Intermediate Belief
827,"A: Every time I speak up, people seem to ignore me.",A: I find it hard to voice my opinion at work... B: How does it usually go when you try?,Intermediate Belief
828,A: I feel like I don't deserve happiness.,"A: It's been difficult, I've experienced many losses... B: And that makes you feel what exactly?",Core Belief
829,"A: Somedays, I feel so worthless that I believe I can't do anything right.","A: I've been struggling to complete tasks at work... B: You usually manage to get things sorted out, though.",Automatic Thought
830,A: I guess deep down I've always felt like I'm not as important as other people.,A: I've always been the last picked for teams or groups... B: Sounds like you've internalized some harsh experiences.,Core Belief
831,"A: If I don’t get this job, it's because I'm not capable of achieving anything significant.","A: I'm really nervous about this job interview… B: But you've got all the qualifications they're looking for, right?",Intermediate Belief
832,A: I'm sure my friends didn’t invite me because they find me boring and uninteresting.,A: I saw pictures of a party on social media that I wasn't invited to... B: Maybe there was some misunderstanding?,Intermediate Belief
833,"A: I can never do anything right, I mess up everything I try.","A: Yesterday was terrible, I couldn't even manage a simple task at work... B: That sounds tough, were you feeling overwhelmed?",Intermediate Belief
834,"A: There's just something fundamentally wrong with me, I'm not like other people.",A: I've never felt comfortable in social situations... B: Have you always felt that you were different?,Core Belief
835,"A: I feel like if I can't complete this project perfectly, I'll have failed myself and the whole team.","A: This project is so important to our company's growth... B: But you always manage to pull through successfully, don't you?",Intermediate Belief
836,"A: Despite my efforts, my sister still thinks I'm unreliable, which makes me think I must be doing something wrong.",A: I’ve been making a real effort to be there for my family more... B: Has your sister noticed the changes in your behavior?,Intermediate Belief
837,"A: When I make mistakes, I feel like I'm just not cut out for this job.",A: I've been really stressed about work lately. B: What's been bothering you the most at work?,Intermediate Belief
838,"A: Even though I've been working out, I just don't see any improvements.",A: I've been going to the gym for months now. B: Have you noticed any changes since you began?,Intermediate Belief
839,A: Everyone else at work is better than me; I can’t do anything right there.,A: I got negative feedback on my project... B: Was it constructive feedback that you can use?,Automatic Thought
840,"A: If I don't get a promotion soon, it means I'm not capable or talented.",A: I've been at my job for three years now without a promotion... B: Have there been opportunities for advancement?,Intermediate Belief
841,A: I'm so dumb; I always mess things up at work.,A: I made another mistake on the report today... B: Haven't you been doing well on previous ones?,Intermediate Belief
842,"B: I must be perfect at everything I do, or I'm worthless.","A: You've been really hard on yourself... B: I just can't disappoint anyone, it's not acceptable.",Core Belief
843,"A: Whenever I'm around him, I instantly feel incompetent.",A: My co-worker always critiques my work in front of our team... B: Does that happen often?,Automatic Thought
844,A: I need to be loved by everyone to feel that I am worthwhile.,"A: Sometimes I feel like if someone doesn't like me, I am a complete failure... B: Is it important for you to get everyone's approval?",Intermediate Belief
